Employee title,Employee code,2012,2022,Number,Percent,"Percent self employed, 2012","Job openings due to growth and replacement needs, 2012-22","Median annual wage, 2012 (1)",Education,Occupation,Training
Hoist and winch operators,53-7041,3.1,3.2,0.1,2.7,— ,1,"$39,960",Less than high school,None,Short-term on-the-job training
Industrial truck and tractor operators,53-7051,508.6,495,-13.6,-2.7,1,116.8,"$30,220",Less than high school,None,Short-term on-the-job training
"Laborers and material movers, hand",53-7060,3295.6,3615.6,320,9.7,1.4,1287.1,"$22,770",— ,— ,— 
Cleaners of vehicles and equipment,53-7061,325.2,361.2,35.9,11.1,5.1,126.3,"$19,850",Less than high school,None,Short-term on-the-job training
"Laborers and freight, stock, and material movers, hand",53-7062,2197.3,2439.2,241.9,11,1.2,922.5,"$23,890",Less than high school,None,Short-term on-the-job training
Machine feeders and offbearers,53-7063,106.1,108.2,2.1,2,0.2,23.2,"$27,120",Less than high school,None,Short-term on-the-job training
"Packers and packagers, hand",53-7064,666.9,707,40.1,6,0.3,215,"$19,910",Less than high school,None,Short-term on-the-job training
Pumping station operators,53-7070,34.3,37.9,3.7,10.7,8.8,15.7,"$46,240",— ,— ,— 
Gas compressor and gas pumping station operators,53-7071,4.8,4.7,-0.1,-3.1,8.7,1.7,"$51,150",Less than high school,None,Moderate-term on-the-job training
"Pump operators, except wellhead pumpers",53-7072,13.2,14.7,1.4,10.8,8.8,6,"$44,610",Less than high school,None,Moderate-term on-the-job training
Wellhead pumpers,53-7073,16.2,18.6,2.4,14.8,8.8,8,"$45,690",Less than high school,Less than 5 years,Moderate-term on-the-job training
Refuse and recyclable material collectors,53-7081,133.2,154.9,21.6,16.2,10.2,49.3,"$32,930",Less than high school,None,Short-term on-the-job training
Mine shuttle car operators,53-7111,3,2.9,-0.1,-3.7,— ,0.8,"$52,110",Less than high school,None,Short-term on-the-job training
"Tank car, truck, and ship loaders",53-7121,12.5,12.8,0.3,2.7,— ,3.9,"$44,100",Less than high school,None,Short-term on-the-job training
"Material moving workers, all other",53-7199,28.7,30.2,1.5,5.3,2.6,9.4,"$37,320",Less than high school,None,Short-term on-the-job training
